Carrier,Departure Time,Destination,Distance,Date,Flight Number,Origin,Day of the Week,Day of the Month,Flight delay,Random
CO,20,EWR,199,01-02-2004,814,DCA,5,2,0,0.505732134
DH,1,JFK,228,01-03-2004,7814,IAD,6,3,1,0.194191166
RU,9,EWR,213,1/31/2004,2855,IAD,6,31,0,0.980718061
RU,12,EWR,213,01-09-2004,2156,IAD,5,9,0,0.461374868
RU,15,EWR,199,01-02-2004,2261,DCA,5,2,0,0.58386813
US,10,LGA,214,1/29/2004,2162,DCA,4,29,0,0.852039821
UA,20,LGA,229,1/20/2004,846,IAD,2,20,0,0.236492356
DL,16,LGA,214,1/16/2004,1742,DCA,5,16,0,0.398204645
US,22,LGA,214,1/14/2004,2180,DCA,3,14,0,0.013649393
DL,4,LGA,214,1/20/2004,1762,DCA,2,20,0,0.554108667
MQ,23,JFK,213,1/23/2004,4784,DCA,5,23,0,0.94020797
DH,23,LGA,229,01-08-2004,7792,IAD,4,8,0,0.170665323
OH,14,JFK,184,1/21/2004,5935,BWI,3,21,0,0.899356032
DH,20,LGA,229,1/19/2004,7211,IAD,1,19,0,0.134281304
DL,15,LGA,214,01-01-2004,1762,DCA,4,1,0,0.958095307
MQ,18,JFK,213,01-01-2004,4760,DCA,4,1,0,0.181845585
DH,6,LGA,229,1/13/2004,7215,IAD,2,13,1,0.151926829
US,18,LGA,214,01-11-2004,2188,DCA,7,11,0,0.093969017
DL,12,LGA,214,01-05-2004,1764,DCA,1,5,0,0.703917763
DH,15,EWR,213,1/21/2004,7307,IAD,3,21,0,0.173935475
DH,16,JFK,213,01-12-2004,6155,DCA,1,12,0,0.821313063
DL,8,LGA,214,1/22/2004,1766,DCA,4,22,0,0.481901579
DL,7,LGA,214,1/23/2004,1740,DCA,5,23,0,0.106850877
DL,8,LGA,214,01-07-2004,1766,DCA,3,7,0,0.189527374
RU,8,EWR,199,1/22/2004,2181,DCA,4,22,0,0.727371529
DH,18,JFK,228,01-05-2004,7806,IAD,1,5,1,0.494103235
US,9,LGA,214,1/24/2004,2184,DCA,6,24,0,0.228512614
RU,10,EWR,213,01-07-2004,2497,IAD,3,7,0,0.014068464
OH,5,JFK,184,01-07-2004,5935,BWI,3,7,0,0.321822579
US,4,LGA,214,01-07-2004,2168,DCA,3,7,0,0.561078584
US,13,LGA,214,1/28/2004,2180,DCA,3,28,0,0.471413663
DL,15,LGA,214,1/23/2004,1758,DCA,5,23,0,0.524125562
RU,8,EWR,213,1/16/2004,2497,IAD,5,16,1,0.275292348
DL,2,LGA,214,1/15/2004,1764,DCA,4,15,0,0.838864597
US,21,LGA,214,1/25/2004,2180,DCA,7,25,0,0.682167389
US,22,LGA,214,01-12-2004,2182,DCA,1,12,0,0.685090833
MQ,18,LGA,214,1/13/2004,4968,DCA,2,13,0,0.795076199
US,17,LGA,214,1/23/2004,2174,DCA,5,23,0,0.312888303
RU,9,EWR,199,01-05-2004,2879,DCA,1,5,0,0.332242934
US,12,LGA,214,01-02-2004,2176,DCA,5,2,0,0.267676136
RU,7,EWR,199,01-11-2004,2879,DCA,7,11,0,0.08341408
DH,21,LGA,229,1/23/2004,7790,IAD,5,23,0,0.829138065
MQ,2,LGA,214,01-02-2004,4956,DCA,5,2,0,0.746462698
MQ,21,LGA,214,01-09-2004,4970,DCA,5,9,1,0.498072604
US,4,LGA,214,01-05-2004,2162,DCA,1,5,0,0.406545231
US,16,LGA,214,1/26/2004,2180,DCA,1,26,0,0.020941561
DH,22,LGA,229,01-08-2004,7790,IAD,4,8,0,0.806164587
RU,5,EWR,199,1/17/2004,2216,DCA,6,17,0,0.296102745
US,2,LGA,214,1/18/2004,2188,DCA,7,18,0,0.993967734
DH,0,JFK,228,01-06-2004,7808,IAD,2,6,0,0.408575528
US,5,LGA,214,1/24/2004,2168,DCA,6,24,0,0.996092511
MQ,0,LGA,214,01-04-2004,4972,DCA,7,4,0,0.016477745
DH,14,JFK,213,1/31/2004,6155,DCA,6,31,0,0.079818636
MQ,19,JFK,213,1/28/2004,4752,DCA,3,28,0,0.410120204
UA,2,LGA,229,1/24/2004,846,IAD,6,24,0,0.556255084
DH,22,JFK,228,01-10-2004,7800,IAD,6,10,1,0.687224541
DH,13,EWR,213,1/25/2004,7307,IAD,7,25,1,0.528418625
US,22,LGA,214,1/21/2004,2182,DCA,3,21,0,0.088349424
DH,6,LGA,229,1/20/2004,7684,IAD,2,20,0,0.104686929
DH,3,LGA,229,1/16/2004,7211,IAD,5,16,1,0.638067307
CO,17,EWR,199,1/30/2004,808,DCA,5,30,0,0.46713784
US,22,LGA,214,01-08-2004,2178,DCA,4,8,0,0.415444966
DH,15,EWR,213,01-06-2004,7304,IAD,2,6,0,0.63849226
US,11,LGA,214,1/14/2004,1479,DCA,3,14,0,0.83803112
DL,12,JFK,213,1/24/2004,746,DCA,6,24,1,0.857054154
DH,5,JFK,228,1/26/2004,7800,IAD,1,26,0,0.354141481
MQ,23,LGA,214,1/21/2004,4952,DCA,3,21,0,0.017144008
RU,8,EWR,199,1/31/2004,2582,DCA,6,31,0,0.545652372
DH,21,EWR,213,1/20/2004,7299,IAD,2,20,0,0.713224396
US,10,LGA,214,1/22/2004,2178,DCA,4,22,0,0.920990776
DL,0,JFK,213,01-05-2004,746,DCA,1,5,0,0.339641625
US,17,LGA,214,1/26/2004,2182,DCA,1,26,0,0.175820934
US,14,LGA,214,01-07-2004,2188,DCA,3,7,0,0.989938234
DH,10,LGA,229,01-01-2004,7924,IAD,4,1,0,0.538633448
US,2,LGA,214,01-09-2004,2160,DCA,5,9,0,0.573508858
DH,21,LGA,229,1/28/2004,7208,IAD,3,28,0,0.690185553
MQ,8,LGA,214,1/21/2004,4976,DCA,3,21,0,0.406101231
DH,23,JFK,228,1/29/2004,7806,IAD,4,29,0,0.086019016
DH,8,LGA,229,1/13/2004,7790,IAD,2,13,1,0.903433567
DL,19,LGA,214,1/15/2004,1746,DCA,4,15,0,0.378558728
US,0,LGA,214,1/13/2004,2160,DCA,2,13,0,0.415502579
RU,12,EWR,169,1/24/2004,2703,BWI,6,24,1,0.27532517
RU,16,EWR,199,01-09-2004,2761,DCA,5,9,0,0.111596276
US,6,LGA,214,01-11-2004,2164,DCA,7,11,0,0.529408007
DL,23,LGA,214,1/13/2004,1750,DCA,2,13,0,0.756056928
DH,16,LGA,229,01-05-2004,7792,IAD,1,5,0,0.376832157
DL,6,LGA,214,1/31/2004,1760,DCA,6,31,0,0.013664592
DH,0,LGA,229,1/28/2004,7684,IAD,3,28,1,0.403725326
RU,3,EWR,169,1/18/2004,2303,BWI,7,18,1,0.409618115
DH,3,JFK,228,01-06-2004,7814,IAD,2,6,1,0.294770474
US,16,LGA,214,1/31/2004,2164,DCA,6,31,0,0.317884689
US,6,LGA,214,01-04-2004,2170,DCA,7,4,0,0.231774847
MQ,7,LGA,214,1/14/2004,4970,DCA,3,14,0,0.308752854
RU,13,EWR,199,01-07-2004,2879,DCA,3,7,0,0.772524707
RU,3,EWR,199,1/14/2004,2879,DCA,3,14,0,0.669756318
RU,20,EWR,199,1/14/2004,2216,DCA,3,14,0,0.899266075
RU,17,EWR,169,1/13/2004,2703,BWI,2,13,0,0.167230338
RU,21,EWR,199,01-12-2004,2879,DCA,1,12,0,0.671546769
DH,4,EWR,213,01-09-2004,7305,IAD,5,9,0,0.186992988
US,8,LGA,214,1/13/2004,2176,DCA,2,13,0,0.630151343
RU,11,EWR,213,1/22/2004,2156,IAD,4,22,0,0.34853322
DL,5,LGA,214,01-09-2004,1756,DCA,5,9,0,0.463991026
DH,22,EWR,213,1/17/2004,7299,IAD,6,17,0,0.766798312
DH,1,JFK,228,01-08-2004,7806,IAD,4,8,0,0.977802876
RU,22,EWR,213,1/14/2004,2156,IAD,3,14,0,0.141377186
RU,15,EWR,199,1/25/2004,2582,DCA,7,25,0,0.960781916
DL,11,LGA,214,1/21/2004,1752,DCA,3,21,0,0.827409769
DL,15,LGA,214,1/29/2004,1760,DCA,4,29,0,0.950553626
RU,2,EWR,199,1/24/2004,2097,DCA,6,24,0,0.696110635
US,14,LGA,214,1/25/2004,2166,DCA,7,25,0,0.247063062
DH,8,JFK,228,1/28/2004,7814,IAD,3,28,0,0.817724092
US,21,LGA,214,1/18/2004,2174,DCA,7,18,0,0.899230793
US,9,LGA,214,1/16/2004,2188,DCA,5,16,0,0.695556968
RU,1,EWR,199,01-06-2004,2216,DCA,2,6,0,0.8703652
DH,19,LGA,229,1/14/2004,7215,IAD,3,14,0,0.466790196
DH,16,EWR,213,1/14/2004,7307,IAD,3,14,1,0.789562723
MQ,6,LGA,214,01-06-2004,4966,DCA,2,6,0,0.597439563
DL,12,LGA,214,1/19/2004,1756,DCA,1,19,0,0.696738708
RU,14,EWR,199,1/29/2004,2879,DCA,4,29,0,0.122937985
DL,21,LGA,214,1/15/2004,1754,DCA,4,15,0,0.592459868
MQ,7,JFK,213,1/15/2004,4784,DCA,4,15,0,0.117404836
DH,9,JFK,228,1/16/2004,7808,IAD,5,16,0,0.002841329
DH,7,JFK,228,01-11-2004,7816,IAD,7,11,0,0.362083011
DH,9,LGA,229,1/22/2004,7790,IAD,4,22,0,0.548605561
DH,4,LGA,229,1/20/2004,7211,IAD,2,20,0,0.463225322
US,4,LGA,214,1/13/2004,2168,DCA,2,13,0,0.473722452
RU,20,EWR,199,1/29/2004,2216,DCA,4,29,1,0.981041449
US,1,LGA,214,1/27/2004,2168,DCA,2,27,0,0.323141346
DL,22,LGA,214,1/22/2004,1746,DCA,4,22,0,0.434689563
DH,10,JFK,228,1/15/2004,7806,IAD,4,15,0,0.030089862
US,8,LGA,214,01-11-2004,2168,DCA,7,11,0,0.040528529
RU,2,EWR,213,01-06-2004,2497,IAD,2,6,0,0.949237982
CO,19,EWR,199,1/20/2004,808,DCA,2,20,0,0.537585965
RU,4,EWR,199,01-04-2004,2582,DCA,7,4,0,0.328528196
MQ,0,JFK,213,1/14/2004,4784,DCA,3,14,0,0.404960637
US,18,LGA,214,1/31/2004,2172,DCA,6,31,0,0.515615046
DL,15,LGA,214,01-12-2004,1758,DCA,1,12,0,0.520312042
DH,9,JFK,228,1/28/2004,7816,IAD,3,28,0,0.049420724
DH,11,JFK,228,1/15/2004,7808,IAD,4,15,0,0.194931214
DH,0,JFK,228,01-08-2004,7800,IAD,4,8,0,0.047908738
US,8,LGA,214,1/26/2004,1479,DCA,1,26,1,0.471683966
DL,2,LGA,214,1/16/2004,1762,DCA,5,16,0,0.23590457
RU,18,EWR,199,01-10-2004,2582,DCA,6,10,0,0.659010488
RU,10,EWR,199,1/31/2004,2761,DCA,6,31,0,0.781711086
CO,21,EWR,199,01-02-2004,808,DCA,5,2,0,0.101989465
DL,21,LGA,214,1/22/2004,1744,DCA,4,22,0,0.477527576
RU,14,EWR,213,1/19/2004,2385,IAD,1,19,1,0.012859451
DH,8,LGA,229,1/30/2004,7792,IAD,5,30,0,0.73807782
DL,14,LGA,214,01-01-2004,1756,DCA,4,1,0,0.422579542
RU,6,EWR,199,1/30/2004,2761,DCA,5,30,0,0.647762155
RU,5,EWR,169,01-06-2004,3372,BWI,2,6,1,0.461928851
RU,12,EWR,213,1/26/2004,2497,IAD,1,26,1,0.185796849
RU,5,EWR,169,1/14/2004,3372,BWI,3,14,0,0.427345305
DL,17,LGA,214,1/14/2004,1760,DCA,3,14,0,0.602099462
MQ,9,JFK,213,1/30/2004,4784,DCA,5,30,0,0.233508185
US,18,LGA,214,01-08-2004,2170,DCA,4,8,0,0.364643569
MQ,2,LGA,214,01-06-2004,4954,DCA,2,6,0,0.920803889
MQ,5,LGA,214,1/14/2004,4964,DCA,3,14,0,0.368878336
RU,3,EWR,169,01-10-2004,2229,BWI,6,10,0,0.115471641
DH,15,LGA,229,1/31/2004,7208,IAD,6,31,0,0.666780058
RU,15,EWR,199,1/29/2004,2181,DCA,4,29,0,0.004151968
CO,14,EWR,199,1/16/2004,808,DCA,5,16,1,0.845629016
DL,1,LGA,214,1/18/2004,1748,DCA,7,18,0,0.263527549
DH,13,JFK,228,1/25/2004,7812,IAD,7,25,1,0.982324961
DH,14,EWR,213,01-12-2004,7305,IAD,1,12,0,0.586451522
US,14,LGA,214,01-12-2004,2166,DCA,1,12,0,0.806378015
RU,6,EWR,199,01-05-2004,2761,DCA,1,5,0,0.448597038
US,5,LGA,214,1/30/2004,2176,DCA,5,30,0,0.164957069
MQ,10,JFK,213,1/31/2004,4760,DCA,6,31,0,0.974133326
CO,4,EWR,199,1/29/2004,808,DCA,4,29,0,0.178720213
DH,18,LGA,229,1/29/2004,7211,IAD,4,29,1,0.4448909
CO,6,EWR,199,01-12-2004,806,DCA,1,12,0,0.495687821
DH,3,LGA,229,1/30/2004,7208,IAD,5,30,0,0.022533297
DL,8,LGA,214,1/13/2004,1768,DCA,2,13,1,0.607268605
US,6,LGA,214,1/22/2004,2170,DCA,4,22,0,0.814943609
RU,10,EWR,213,01-02-2004,3276,IAD,5,2,0,0.850275334
RU,0,EWR,213,01-06-2004,2367,IAD,2,6,0,0.858940536
US,15,LGA,214,01-06-2004,2164,DCA,2,6,0,0.110354806
DL,3,LGA,214,1/22/2004,1756,DCA,4,22,1,0.260028448
RU,18,EWR,213,01-08-2004,2156,IAD,4,8,0,0.523971707
DL,0,JFK,213,1/31/2004,746,DCA,6,31,0,0.522412667
DL,0,LGA,214,1/22/2004,1750,DCA,4,22,0,0.980441823
US,15,LGA,214,01-09-2004,2188,DCA,5,9,0,0.135416962
US,8,LGA,214,01-05-2004,2170,DCA,1,5,0,0.460090341
RU,5,EWR,169,1/25/2004,2703,BWI,7,25,0,0.061997051
US,1,LGA,214,01-08-2004,2184,DCA,4,8,1,0.213450077
UA,1,LGA,229,01-05-2004,846,IAD,1,5,0,0.409585512
RU,3,EWR,169,01-12-2004,2403,BWI,1,12,1,0.314505123
DH,23,JFK,228,01-06-2004,7806,IAD,2,6,0,0.076799637
DH,7,JFK,228,1/16/2004,7800,IAD,5,16,0,0.178727053
MQ,20,LGA,214,01-01-2004,4956,DCA,4,1,0,0.819869014
US,5,LGA,214,1/28/2004,2160,DCA,3,28,0,0.26320165
US,1,LGA,214,01-09-2004,1479,DCA,5,9,0,0.818552745
DH,1,JFK,213,01-01-2004,6155,DCA,4,1,0,0.015724885
DH,12,LGA,229,1/18/2004,7208,IAD,7,18,0,0.42589953
US,0,LGA,214,1/30/2004,2166,DCA,5,30,0,0.47272804
DH,3,EWR,213,01-09-2004,7304,IAD,5,9,0,0.956811218
DL,16,LGA,214,01-11-2004,1760,DCA,7,11,0,0.59531192
US,10,LGA,214,1/28/2004,2172,DCA,3,28,0,0.641663772
RU,7,EWR,213,1/13/2004,2156,IAD,2,13,0,0.782315775
CO,19,EWR,199,1/30/2004,806,DCA,5,30,0,0.95996721
US,14,LGA,214,1/17/2004,2176,DCA,6,17,0,0.104045603
RU,6,EWR,169,01-08-2004,2303,BWI,4,8,0,0.160697265
US,5,LGA,214,01-04-2004,2168,DCA,7,4,0,0.260625496
US,10,LGA,214,01-02-2004,2168,DCA,5,2,0,0.021506449
US,14,LGA,214,01-04-2004,2186,DCA,7,4,0,0.958706001
US,21,LGA,214,1/27/2004,2160,DCA,2,27,0,0.739751863
DH,4,JFK,228,1/28/2004,7806,IAD,3,28,1,0.877175222
RU,8,EWR,213,1/17/2004,2497,IAD,6,17,0,0.230077749
RU,2,EWR,199,1/14/2004,2261,DCA,3,14,0,0.163982988
US,23,LGA,214,1/30/2004,2164,DCA,5,30,0,0.332474069
DH,4,JFK,228,1/23/2004,7814,IAD,5,23,0,0.342497778
RU,16,EWR,199,1/19/2004,2761,DCA,1,19,0,0.245079502
DH,10,JFK,228,1/13/2004,7800,IAD,2,13,0,0.071095801
RU,7,EWR,199,01-09-2004,2261,DCA,5,9,0,0.378066815
DL,11,LGA,214,01-04-2004,1744,DCA,7,4,0,0.268270511
DH,21,JFK,228,01-05-2004,7814,IAD,1,5,1,0.789706051
DH,17,LGA,229,1/27/2004,7208,IAD,2,27,1,0.063007318
MQ,15,LGA,214,1/15/2004,4976,DCA,4,15,1,0.924855356
CO,8,EWR,199,1/18/2004,816,DCA,7,18,1,0.564418637
US,0,LGA,214,1/25/2004,2186,DCA,7,25,0,0.973056856
MQ,19,LGA,214,01-07-2004,4968,DCA,3,7,1,0.205288163
US,11,LGA,214,01-02-2004,2172,DCA,5,2,0,0.762138333
US,1,LGA,214,1/20/2004,2166,DCA,2,20,0,0.389137459
DL,13,LGA,214,01-05-2004,1766,DCA,1,5,1,0.526531827
US,11,LGA,214,1/13/2004,2182,DCA,2,13,0,0.166845365
DH,7,LGA,229,1/13/2004,7684,IAD,2,13,0,0.652839143
OH,17,JFK,184,1/23/2004,5935,BWI,5,23,1,0.681961991
DL,14,LGA,214,01-04-2004,1756,DCA,7,4,0,0.498428984
OH,15,JFK,184,1/29/2004,5935,BWI,4,29,0,0.826628563
DL,0,LGA,214,1/13/2004,1752,DCA,2,13,0,0.552091878
CO,8,EWR,199,1/21/2004,808,DCA,3,21,0,0.931267921
DL,12,LGA,214,01-08-2004,1748,DCA,4,8,0,0.789933185
MQ,2,LGA,214,1/28/2004,4976,DCA,3,28,1,0.746101346
RU,15,EWR,213,01-09-2004,2497,IAD,5,9,0,0.420409454
US,9,LGA,214,1/22/2004,2176,DCA,4,22,0,0.623866506
RU,19,EWR,199,01-06-2004,2582,DCA,2,6,0,0.409667012
DH,19,LGA,229,1/27/2004,7215,IAD,2,27,1,0.445450817
DL,3,JFK,213,1/27/2004,746,DCA,2,27,1,0.410217028
RU,11,EWR,213,01-10-2004,2497,IAD,6,10,0,0.585886232
DH,23,EWR,213,1/20/2004,7303,IAD,2,20,0,0.229115055
DH,0,JFK,228,1/23/2004,7806,IAD,5,23,0,0.20970561
UA,7,LGA,229,1/26/2004,846,IAD,1,26,1,0.794022244
RU,15,EWR,199,01-07-2004,2181,DCA,3,7,0,0.69748872
RU,19,EWR,169,01-02-2004,2403,BWI,5,2,0,0.587092295
DH,20,LGA,229,01-10-2004,7215,IAD,6,10,0,0.493758044
MQ,21,JFK,213,1/23/2004,4752,DCA,5,23,1,0.196075285
DL,20,LGA,214,1/24/2004,1768,DCA,6,24,0,0.001412703
UA,17,LGA,229,1/16/2004,846,IAD,5,16,1,0.012359901
RU,21,EWR,199,1/19/2004,2181,DCA,1,19,0,0.370513428
US,13,LGA,214,1/23/2004,2166,DCA,5,23,0,0.679202011
MQ,10,JFK,213,01-07-2004,4752,DCA,3,7,0,0.924164531
US,13,LGA,214,01-05-2004,2180,DCA,1,5,0,0.072631795
US,11,LGA,214,1/19/2004,2164,DCA,1,19,0,0.304420372
DL,1,LGA,214,1/30/2004,1756,DCA,5,30,0,0.673971478
US,20,LGA,214,01-12-2004,2178,DCA,1,12,0,0.006228007
DL,5,LGA,214,1/21/2004,1740,DCA,3,21,0,0.135912751
RU,0,EWR,169,1/29/2004,3372,BWI,4,29,0,0.866178154
CO,21,EWR,199,1/22/2004,806,DCA,4,22,0,0.67097565
MQ,8,LGA,214,01-12-2004,4976,DCA,1,12,0,0.790934073
US,12,LGA,214,1/22/2004,2182,DCA,4,22,0,0.304207537
RU,21,EWR,213,1/29/2004,2692,IAD,4,29,0,0.676047743
MQ,13,JFK,213,01-10-2004,4752,DCA,6,10,0,0.91162946
US,19,LGA,214,01-08-2004,2172,DCA,4,8,0,0.438816373
US,8,LGA,214,01-09-2004,2174,DCA,5,9,0,0.569192847
RU,16,EWR,199,01-03-2004,2181,DCA,6,3,0,0.948423002
MQ,13,LGA,214,1/16/2004,4966,DCA,5,16,1,0.230718759
US,9,LGA,214,01-02-2004,2164,DCA,5,2,0,0.228518148
DH,11,JFK,228,1/24/2004,7818,IAD,6,24,0,0.763990668
DL,21,LGA,214,01-07-2004,1744,DCA,3,7,0,0.451127546
MQ,22,LGA,214,1/19/2004,4954,DCA,1,19,1,0.323320304
US,11,LGA,214,01-09-2004,2180,DCA,5,9,0,0.441786564
DH,12,EWR,213,1/18/2004,7304,IAD,7,18,0,0.863257216
DL,18,LGA,214,1/29/2004,1766,DCA,4,29,0,0.026610545
US,14,LGA,214,1/29/2004,2170,DCA,4,29,0,0.389507619
US,0,LGA,214,01-06-2004,2182,DCA,2,6,0,0.475024485
DH,3,EWR,213,1/13/2004,7305,IAD,2,13,0,0.314062039
RU,16,EWR,213,1/27/2004,2156,IAD,2,27,1,0.559850406
DH,7,LGA,229,1/15/2004,7211,IAD,4,15,1,0.142846677
DH,9,LGA,229,01-04-2004,7924,IAD,7,4,0,0.088389307
DL,22,LGA,214,1/15/2004,1756,DCA,4,15,0,0.962212054
US,3,LGA,214,01-07-2004,2166,DCA,3,7,0,0.412422705
RU,9,EWR,169,01-01-2004,2675,BWI,4,1,0,0.497407428
DH,3,LGA,229,1/20/2004,7208,IAD,2,20,0,0.419262077
DH,9,EWR,213,1/19/2004,7302,IAD,1,19,0,0.372654889
US,10,LGA,214,01-07-2004,2180,DCA,3,7,0,0.710788087
DH,0,JFK,228,1/14/2004,7806,IAD,3,14,0,0.336194046
DH,19,JFK,228,1/18/2004,7810,IAD,7,18,0,0.092800504
RU,20,EWR,199,01-01-2004,2261,DCA,4,1,0,0.677582188
US,3,LGA,214,1/16/2004,2176,DCA,5,16,0,0.442019788
RU,19,EWR,213,01-08-2004,2385,IAD,4,8,0,0.551058108
MQ,17,LGA,214,01-07-2004,4964,DCA,3,7,0,0.405429556
DH,0,EWR,213,01-07-2004,7302,IAD,3,7,0,0.935199504
DL,10,LGA,214,01-05-2004,1760,DCA,1,5,0,0.854298692
MQ,4,LGA,214,01-08-2004,4956,DCA,4,8,0,0.038652383
CO,23,EWR,199,1/28/2004,808,DCA,3,28,0,0.459734371
US,13,LGA,214,01-07-2004,2186,DCA,3,7,1,0.250149421
US,9,LGA,214,1/19/2004,2160,DCA,1,19,0,0.57982312
DH,10,JFK,228,1/24/2004,7814,IAD,6,24,0,0.296937518
DL,23,LGA,214,1/26/2004,1766,DCA,1,26,0,0.829850984
US,18,LGA,214,1/26/2004,2184,DCA,1,26,0,0.667697025
DH,20,JFK,228,1/31/2004,7810,IAD,6,31,0,0.31448785
US,0,LGA,214,1/22/2004,1479,DCA,4,22,0,0.76343847
DL,20,LGA,214,1/30/2004,1746,DCA,5,30,0,0.301269024
DH,6,LGA,229,1/25/2004,7211,IAD,7,25,0,0.530097433
US,20,LGA,214,1/18/2004,2172,DCA,7,18,1,0.397612056
DH,4,JFK,228,1/14/2004,7814,IAD,3,14,0,0.910700525
DH,2,EWR,213,01-09-2004,7303,IAD,5,9,0,0.73461748
RU,1,EWR,169,1/31/2004,2703,BWI,6,31,0,0.466832308
MQ,22,LGA,214,01-01-2004,4966,DCA,4,1,0,0.013173528
US,5,LGA,214,1/20/2004,2174,DCA,2,20,0,0.523133999
MQ,9,JFK,213,1/20/2004,4760,DCA,2,20,0,0.5439483
US,0,LGA,214,01-12-2004,2186,DCA,1,12,0,0.553319838
CO,6,EWR,199,1/21/2004,814,DCA,3,21,1,0.644411209
DH,3,JFK,213,01-02-2004,6155,DCA,5,2,0,0.708318705
MQ,12,LGA,214,1/30/2004,4956,DCA,5,30,0,0.406286162
DH,8,JFK,228,1/24/2004,7810,IAD,6,24,0,0.597351232
DL,16,JFK,213,1/30/2004,746,DCA,5,30,1,0.253667719
DH,6,EWR,213,1/26/2004,7307,IAD,1,26,1,0.666023534
DH,7,LGA,229,1/25/2004,7215,IAD,7,25,1,0.384284073
DL,2,LGA,214,1/25/2004,1764,DCA,7,25,0,0.61334594
DH,6,LGA,229,1/15/2004,7208,IAD,4,15,0,0.53179431
RU,2,EWR,169,01-12-2004,2703,BWI,1,12,0,0.293538515
CO,23,EWR,199,01-11-2004,816,DCA,7,11,0,0.90087647
DL,12,LGA,214,01-06-2004,1750,DCA,2,6,0,0.585455974
